年级,院系名称,院系号,专业名称,修读类型,方案名称,方案计划号,课程总门数,课程总学分,要求总学分,课程总学时,学制类型,学科目录,主要课程
2019,艺术学院,101,美术学,主修,美术学培养方案,5375,76,195,165,3300,本科（四年制）,艺术学,艺术概论、中国美术史、外国美术史、美术史原著导读、中国画论、美术考古、美术摄影基础、中国工艺美术史研究、美术史方法论。
2019,艺术学院,101,动画,主修,动画培养方案,5373,71,203,165,3428,本科（四年制）,管理学,数字绘画、角色设计、场景设计、运动规律、动画软件基础、图形创意、动画剧作、动画分镜设计、动漫创作、游戏设计
2019,艺术学院,101,广播电视编导,主修,广播电视编导培养方案,5443,90,212,165,4324,本科（四年制）,艺术学,《艺术概论》、《经典影片分析》、《摄影与摄像》、《视听语言》、《微电影创作》、《电竞编导》、《影视文学创作》、《编导基础》《影视美术基础》、《编导基础》、《剪辑理论与实践》
2019,艺术学院,101,音乐表演（声乐）,主修,音乐表演（声乐）培养方案,5332,89,175,165,3028,本科（四年制）,艺术学,西方音乐史、中国音乐史、基础乐理、基础和声、民族音乐概论、曲式与作品分析、音乐美学、声乐演唱、视唱练耳、钢琴
2019,艺术学院,101,舞蹈表演,主修,舞蹈表演培养方案,5444,75,163,165,3684,本科（四年制）,艺术学,舞蹈表演、芭蕾基本功、古典舞基本功、中国舞蹈史、外国舞蹈史、舞蹈教学法、民间舞、古典舞身韵、教学剧目、舞蹈编导、基础乐理、艺术概论
2019,艺术学院,101,绘画,主修,绘画培养方案,5445,72,173,165,2964,本科（四年制）,艺术学,素描、色彩、绘画透视学、艺用人体解剖结构学、油画（古典绘画技法研究、静物技法研究、风景技法研究、肖像技法研究、人体技法研究）、超级写实绘画技法研究、现当代造型艺术、综合材料综合艺术研究、绘画（油画）创作
2019,艺术学院,101,书法学,主修,书法学培养方案,5446,66,163,165,2708,本科（四年制）,,篆书临摹说创作、隶书临摹与创作、楷书临摹与创作、行书临摹与创作、草书临摹与创作、篆刻临摹与创作、中国书法史、中国书法鉴赏、文艺学、书法美学
2019,艺术学院,101,中国画,主修,中国画培养方案,5447,64,172,165,2932,本科（四年制）,艺术学,素描，色彩，山水（水墨、重彩），花鸟（水墨、重彩），人物（水墨、重彩），写生（花鸟、山水、人物）
2019,艺术学院,101,视觉传达设计,主修,视觉传达设计培养方案,5448,60,170,165,2932,本科（四年制）,艺术学,广告设计、包装设计、书籍装帧、品牌形象设计、版式设计、字体设计、图形创意、传统装饰艺术与图案设计
2019,艺术学院,101,环境设计,主修,环境设计培养方案,5374,70,175,165,2988,本科（四年制）,艺术学,景观规划设计、景观建筑设计、建筑空间与室内设计、陈设与装饰设计、公共环境艺术设计、材料艺术与工程设计基础、光环境设计
2019,经济学院,102,经济学,主修,经济学培养方案,5449,83,182,160,3158,本科（四年制）,经济学,政治经济学、微观经济学、宏观经济学、金融学、财政学、会计学、统计学、计量经济学、中国特色社会主义政治经济学、《资本论》选读、经济史、经济思想史、产业经济学、环境与资源经济学、发展经济学、经济学方法论、新制度经济学（全英文）、社会主义市场经济理论
2019,经济学院,102,经济学（双学位）,辅修,经济学（辅修学位）培养方案,8511,17,64,64,1042,双学位（二年半制）,,
2019,经济学院,102,经济学（拔尖计划）,主修,经济学（拔尖计划）培养方案,8322,84,189,167,3270,本科（四年制）,经济学,
2019,经济学院,102,国际经济与贸易,主修,国际经济与贸易培养方案,5315,86,193.5,160,3342,本科（四年制）,经济学,国际贸易学、国际经济学、世界经济（全英文）、国际商法、国际市场营销、国际结算、国际商务、国际贸易实务、商务谈判、跨国公司经营与管理
2019,经济学院,102,财政学,主修,财政学培养方案,5450,77,173,160,3014,本科（四年制）,经济学,中国税制、政府预算、财政管理、地方财政学（全英文）、财税理论前沿、国际税收、财政制度比较研究、投资项目评估、税收筹划等。
2019,经济学院,102,金融学,主修,金融学培养方案,5316,74,173,160,3020,本科（四年制）,经济学,微观经济学、宏观经济学、政治经济学、中国特色社会主义经济学、计量经济学、财政学、金融学、会计学、统计学、金融经济学、公司金融、国际金融、金融市场学、投资银行理论与实务、商业银行业务与经营（全英文）、金融风险管理、金融计量学、财务报表分析、证券投资学
2019,经济学院,102,国民经济管理,主修,国民经济管理培养方案,5471,78,174,160,3030,本科（四年制）,经济学,政治经济学、微观经济学、宏观经济学、金融学、财政学、会计学、统计学、计量经济学、国民经济管理、人力资源管理、区域经济学、产业经济学、国民经济核算、财务管理、发展经济学、宏观经济分析模型与方法、证券投资学、管理学、运筹学等。
2019,经济学院,102,金融工程,主修,金融工程培养方案,5472,75,177,160,3088,本科（四年制）,经济学,金融经济学、金融工程学、公司金融学、证券投资学、金融风险管理、金融计量学、国际金融学（全英文）、金融随机过程、金融资产定价、金融工程实验、固定收益证券、金融数学、行为金融学、投资银行理论与实务、财务报表分析、金融大数据、金融工程理论前沿
2019,经济学院,102,经济学类,主修,经济学类培养方案,5314,42,91,160,1636,本科（四年制）,经济学,
2019,经济学院,102,金融学类,主修,金融学类培养方案,5317,37,88,160,1588,本科（四年制）,经济学,
2019,经济学院,102,金融学（双学位）,辅修,金融学（辅修学位）培养方案,8512,18,67,67,1093,双学位（二年半制）,,
2019,经济学院,102,金融工程（双学位）,辅修,金融工程（辅修学位）培养方案,8513,17,64,64,1052,双学位（二年半制）,,
2019,法学院,103,法学,主修,法学培养方案,5473,163,322,160,5332,本科（四年制）,法学,法理学、中国法律史、宪法、行政法与行政诉讼法、刑法学、刑事诉讼法、民法学、民诉讼诉法、国际法、法律职业伦理、经济法、商法、知识产权法、国际私法、国际经济法、环境资源法、劳动与社会保障法、证据法、财税法学
2019,法学院,103,法学（双学位）,辅修,法学（辅修学位）培养方案,8510,20,60,60,966,双学位（二年半制）,,
2019,法学院,103,法学（知识产权方向）（双学位）,辅修,法学（知识产权方向）（辅修学位）培养方案,8514,22,60,60,978,双学位（二年半制）,,
2019,法学院,103,法学（卓越法律人才计划涉外实验班）,主修,法学（卓越法律人才计划涉外实验班）培养方案,5428,167,328,160,5428,本科（四年制）,法学,法理学、中国法律史、宪法、行政法与行政诉讼法、刑法学、刑事诉讼法、民法学、民诉讼诉法、国际法、法律职业伦理、经济法、商法、知识产权法、国际私法、国际经济法、环境资源法、劳动与社会保障法、证据法、财税法学
2019,文学与新闻学院,104,中国语言文学类,主修,中国语言文学类培养方案,5318,32,76,154,1300,本科（四年制）,文学,
2019,文学与新闻学院,104,汉语言文学,主修,汉语言文学培养方案,5327,83,205,154,3460,本科（四年制）,文学,中华文化、中国古代文学、中国现代文学、中国当代文学、外国文学、比较文学、古代汉语、现代汉语、文学理论、美学、语言学概论、写作理论与实践、文化人类学、影视艺术概论、传播学概论
2019,文学与新闻学院,104,汉语言文学（基地班）,主修,汉语言文学（基地班）培养方案,5320,98,232,156,3892,本科（四年制）,文学,中华文化、中国古代文学、中国现代文学、中国当代文学、外国文学、比较文学、古代汉语、现代汉语、文学理论、美学、语言学概论、写作理论与实践、文化人类学、古典文献学、文化原典导读、影视艺术概论、传播学概论
2019,文学与新闻学院,104,汉语言文学（拔尖计划）,主修,汉语言文学（拔尖计划）培养方案,8323,90,221,165,3716,本科（四年制）,文学,
